1,8
1,18
1,14
1,22
2,6
2,33
2,10
2,11
2,28
2,37
2,29
3,32
3,33
3,20
3,24
3,23
3,5
3,44
3,36
3,26
4,49
4,25
4,30
4,15
4,21
5,32
5,33
5,20
5,24
5,3
5,23
5,36
5,26
6,27
6,33
6,10
6,2
7,26
7,40
7,38
8,18
8,27
8,1
8,14
9,29
9,21
9,12
9,17
10,27
10,6
10,11
10,47
10,28
10,43
10,2
11,10
11,47
11,28
11,22
11,43
11,2
12,34
12,37
12,29
12,9
12,45
12,17
13,34
13,19
13,45
14,8
14,18
14,1
14,47
14,22
15,49
15,25
15,30
15,4
15,21
16,35
16,48
16,31
17,12
17,9
18,8
18,27
18,1
18,14
19,34
19,13
19,45
20,32
20,24
20,3
20,23
20,5
20,44
20,36
20,26
21,4
21,15
21,37
21,29
21,9
22,1
22,14
22,11
22,47
22,43
23,32
23,20
23,24
23,3
23,5
23,44
23,26
24,32
24,33
24,20
24,3
24,23
24,5
24,44
24,36
24,26
25,46
25,39
25,41
25,49
25,30
25,4
25,15
26,20
26,24
26,3
26,23
26,5
26,44
26,36
26,40
26,41
26,7
27,8
27,18
27,6
27,33
27,10
28,10
28,11
28,43
28,2
29,2
29,37
29,21
29,12
29,9
30,46
30,39
30,41
30,49
30,25
30,4
30,15
30,37
31,35
31,16
31,48
32,20
32,24
32,3
32,23
32,5
32,44
33,27
33,6
33,24
33,3
33,5
33,2
34,13
34,19
34,12
34,45
35,16
35,48
35,31
36,20
36,24
36,3
36,5
36,44
36,46
36,26
36,40
36,39
36,41
37,30
37,2
37,29
37,21
37,12
38,40
38,7
38,42
39,36
39,46
39,41
39,42
39,49
39,25
39,30
40,44
40,36
40,26
40,7
40,38
41,36
41,46
41,26
41,39
41,42
41,49
41,25
41,30
42,39
42,41
42,38
42,49
43,10
43,11
43,47
43,28
43,22
44,32
44,20
44,24
44,3
44,23
44,36
44,26
44,40
45,34
45,13
45,19
45,12
46,36
46,39
46,41
46,49
46,25
46,30
47,14
47,10
47,11
47,22
47,43
48,35
48,16
48,31
49,46
49,39
49,41
49,42
49,25
49,30
49,4
49,15
